Company_Name,HeadQuarter,Sector,Amount($),Stage,Year,Investor
TheCollegeFever,"Bangalore, Karnataka, India","Brand Marketing, Event Promotion, Marketing, Sponsorship, Ticketing",250000.0,Seed,2018,
Happy Cow Dairy,"Mumbai, Maharashtra, India","Agriculture, Farming",560000.0,Seed,2018,
MyLoanCare,"Gurgaon, Haryana, India","Credit, Financial Services, Lending, Marketplace",910000.0,Series A,2018,
PayMe India,"Noida, Uttar Pradesh, India","Financial Services, FinTech",2000000.0,Angel,2018,
Hasura,"Bengaluru, Karnataka, India","Cloud Infrastructure, PaaS, SaaS",1600000.0,Seed,2018,
Tripshelf,"Kalkaji, Delhi, India","Internet, Leisure, Marketplace",224000.0,Seed,2018,
Hyperdata.IO,"Hyderabad, Andhra Pradesh, India",Market Research,700000.0,Angel,2018,
Pitstop,"Bengaluru, Karnataka, India","Automotive, Search Engine, Service Industry",1400000.0,Seed,2018,
Mihuru,"Mumbai, Maharashtra, India","Finance, Internet, Travel",150000.0,Seed,2018,
Fyle,"Bengaluru, Karnataka, India","Accounting, Business Information Systems, Business Travel, Finance, SaaS",1100000.0,Seed,2018,
Antariksh Waste Ventures Pvt ltd,"Chennai, Tamil Nadu, India","Internet of Things, Waste Management",7000.0,Seed,2018,
Cogoport,"Mumbai, Maharashtra, India","Air Transportation, Freight Service, Logistics, Marine Transportation",6000000.0,Series A,2018,
PaisaDukan,"Mumbai, Maharashtra, India",Financial Services,650000.0,Seed,2018,
Sleepy Owl Coffee,"New Delhi, Delhi, India",Food and Beverage,490000.0,Seed,2018,
BlueJack,"Delhi, Delhi, India",Autonomous Vehicles,896000.0,Seed,2018,
Pando,"Chennai, Tamil Nadu, India","Logistics, Supply Chain Management",2000000.0,Seed,2018,
Mintifi,"Mumbai, Maharashtra, India","Financial Services, Lending",2000000.0,Seed,2018,
Carcrew,"Mumbai, Maharashtra, India","Automotive, Marketplace, Online Portals",2000000.0,Seed,2018,
Chariot Tech,"New Delhi, Delhi, India","Internet of Things, Telecommunications",280000.0,Seed,2018,
Ideal Insurance Brokers/ 121Policy.com,"Kolkata, West Bengal, India",Insurance,1000000.0,Seed,2018,
Mojro Technologies,"Bengaluru, Karnataka, India","Information Technology, Logistics, Supply Chain Management",650000.0,Seed,2018,
Elemential,"Mumbai, Maharashtra, India","Blockchain, Developer Tools, Enterprise Software",1000000.0,Seed,2018,
Loadshare,"Bengaluru, Karnataka, India","Industrial Automation, Logistics, Supply Chain Management",5000000.0,Series A,2018,
Yumlane,"Mumbai, Maharashtra, India","Food and Beverage, Food Delivery, Snack Food",4000000.0,Series A,2018,
Kriger Campus,"New Delhi, Delhi, India",Education,420000.0,Seed,2018,
Pipa+Bella,"Mumbai, Maharashtra, India","E-Commerce, Fashion, Jewelry, Retail",1000000.0,Series A,2018,
Kaleidofin,"Chennai, Tamil Nadu, India",Financial Services,2800000.0,Seed,2018,
IndigoLearn,"Hyderabad, Andhra Pradesh, India","E-Learning, Education",150000.0,Seed,2018,
UClean,"India, Asia","Clean Energy, CleanTech, Laundry and Dry-cleaning",560000.0,Seed,2018,
Coutloot,"Mumbai, Maharashtra, India","E-Commerce, Fashion, Mobile",1000000.0,Seed,2018,
Letstrack,"New Delhi, Delhi, India","Apps, Messaging, Navigation, Public Safety",1700000.0,Seed,2018,
Finzy,"Bangalore, Karnataka, India","Financial Services, Lending",1300000.0,Seed,2018,
Fitternity,"Mumbai, Maharashtra, India","Fitness, Health Care, Wellness",2000000.0,Seed,2018,
Tolet for Students,"Jodhpur, Rajasthan, India",Hospitality,70000.0,Seed,2018,
Chai Kings,"Chennai, Tamil Nadu, India","Food and Beverage, Tea",280000.0,Seed,2018,
Dainik Jagran,"Kanpur, Uttar Pradesh, India","Media and Entertainment, News, Outdoors",560000.0,Seed,2018,
Playtoome,"Bengaluru, Karnataka, India","Broadcasting, Media and Entertainment, Music, Music Streaming, Video, Video Streaming",280000.0,Seed,2018,
ONGO Framework,"Hyderabad, Andhra Pradesh, India","B2B, Information Services, Information Technology",1000000.0,Angel,2018,
Notesgen,"New Delhi, Delhi, India","EdTech, Education, Enterprise Software, Peer to Peer",175000.0,Seed,2018,
Arogya MedTech,"Kolkata, West Bengal, India","Health Care, Medical",210000.0,Seed,2018,
Propshop24,"Mumbai, Maharashtra, India",E-Commerce,500000.0,Seed,2018,
myUpchar,"New Delhi, Delhi, India","Health Care, Hospital, Wellness",5000000.0,Series A,2018,
MissMalini Entertainment,"Mumbai, Maharashtra, India",—,1456000.0,Seed,2018,
Rooter,"India, Asia",Sports,630000.0,Seed,2018,
ZestMoney,"Bangalore, Karnataka, India","Big Data, Consumer Lending, FinTech",187600.0,Series A,2018,
MyDentistChoice,"Hyderabad, Andhra Pradesh, India","Health Care, Medical, Pharmaceutical",500000.0,Seed,2018,
Sensibull,"Bangalore, Karnataka, India",Trading Platform,350000.0,Seed,2018,
MedCords,"Pune, Maharashtra, India",Wellness,369600.0,Seed,2018,
Enakshi,"Ahmedabad, Gujarat, India",Fashion,112000.0,Seed,2018,
Ultraviolette Automotive,"Bangalore, Karnataka, India","Automotive, Electric Vehicle, Energy Storage",840.0,Series A,2018,
Inthree Access,"Chennai, Tamil Nadu, India","Consulting, Retail, Social",4000000.0,Series A,2018,
BUGWORKS Research India,"Bangalore, Karnataka, India","Biotechnology, Life Science, Pharmaceutical, Product Research",9000000.0,Series A,2018,
PrestLoans,"New Delhi, Delhi, India","Credit, Financial Services, FinTech, Personal Finance",100000.0,Seed,2018,
Wimoxez,"Hyderabad, Andhra Pradesh, India",Internet,20000.0,Seed,2018,
HappyEMI,"Bangalore, Karnataka, India","Consumer, Financial Services, FinTech",1000000.0,Seed,2018,
Hansel.io,"Bangalore, Karnataka, India","Mobile, Mobile Apps, Personalization, Test and Measurement, Web Apps",4000000.0,Series A,2018,
Propelld,"Bengaluru, Karnataka, India","Education, Financial Services, FinTech",250000.0,Seed,2018,
ZiffyHomes,"New Delhi, Delhi, India","Marketplace, Real Estate, Rental Property",120000.0,Seed,2018,
Carmesi,"Gurgaon, Haryana, India",Health Care,476000.0,Seed,2018,
Racetrack,"Bangalore, Karnataka, India","Artificial Intelligence, Cloud Computing, Video",4788000.0,Seed,2018,
WHR,"Pune, Maharashtra, India","Health Care, Information Technology",143145.0,Seed,2018,
FabAlley,"Noida, Uttar Pradesh, India","E-Commerce, Fashion, Lifestyle",8400000.0,Series B,2018,
SBI Life,"Mumbai, Maharashtra, India",Insurance,742000000.0,Equity,2018,
Studds Accessories,"Faridabad, Haryana, India",E-Commerce,14000000.0,Equity,2018,
Design Cafe,"Bengaluru, Karnataka, India","Home Decor, Home Improvement, Home Renovation, Home Services, Interior Design, Smart Home",28000000.0,Series B,2018,
NoPaperForms Solutions Pvt. Ltd.,"New Delhi, Delhi, India","EdTech, Education, Information Services, SaaS",3980000.0,Series B,2018,
Rays Power Infra,"Jaipur, Rajasthan, India","Energy, Solar",28000000.0,,2018,
AuthMetrik,"Gurgaon, Haryana, India","B2B, Biometrics, Cyber Security, Fraud Detection, SaaS, Security",10000.0,Grant,2018,
LetsTransport,"Bangalore, Karnataka, India","Logistics, Transportation, Travel",14000000.0,Series B,2018,
Next Digital Solutions,"Kota, Rajasthan, India","Digital Marketing, SEM, SEO, Web Development",1400.0,Angel,2018,
Portea Medical,"Bangalore, Karnataka, India","Health Care, Hospital, Medical",3500000.0,Debt Financing,2018,
Aavas Financiers,"Jaipur, Rajasthan, India","Finance, Financial Services",28000000.0,Debt Financing,2018,
Swiggy,"Bangalore, Karnataka, India","Food Delivery, Food Processing, Internet",1000000000.0,Series H,2018,
Milkbasket,"Haryana, Haryana, India","E-Commerce, Food and Beverage, Internet",7000000.0,Series A,2018,
Toppr,"Mumbai, Maharashtra, India","EdTech, Education, Knowledge Management",35000000.0,Series C,2018,
Jagaran Microfin,"Kolkata, West Bengal, India",—,7700000.0,Debt Financing,2018,
Vivriti Capital,"Chennai, Tamil Nadu, India",Financial Services,28500000.0,,2018,
Be U Salons,"New Delhi, Delhi, India","Apps, Beauty, Consumer, Retail",420000.0,Seed,2018,
Impact Guru,"Mumbai, Maharashtra, India","Creative Agency, Crowdfunding, EdTech, Health Care, Internet, Medical, Non Profit, Personal Health",2000000.0,Series A,2018,
MobiKwik,"Gurgaon, Haryana, India","Consumer Lending, Financial Services, FinTech, Insurance, Lending, Mobile Payments, Payments, Wealth Management",3360000.0,Series E,2018,
DataTrained,"Bangalore, Karnataka, India","EdTech, Education",1680000.0,Seed,2018,
OneAssist,"Mumbai, Maharashtra, India","Financial Services, SaaS, Security",2400000.0,Debt Financing,2018,
Satin Creditcare Network Limited (SCNL),"New Delhi, Delhi, India","Banking, Finance, Financial Services, Non Profit",30000000.0,Debt Financing,2018,
APAC Financial Services,"Mumbai, Maharashtra, India","Finance, Financial Services",35000000.0,Equity,2018,
Moglix,"Noida, Uttar Pradesh, India","B2B, E-Commerce, Mobile",23000000.0,Series C,2018,
MadGuy Labs,"Hyderabad, Andhra Pradesh, India",E-Learning,150000.0,,2018,
Shop101,"Mumbai, Maharashtra, India","Apps, E-Commerce, Internet",11000000.0,Series B,2018,
FeedMyPockets,"Bangalore City, Karnataka, India","Advertising, Human Resources, Marketing",616000.0,Seed,2018,
Housejoy,"Bengaluru, Karnataka, India","Beauty, Fitness, Home Services, Internet",3240000.0,Series B,2018,
FoodBuddy,"Belgaum, Karnataka, India","Food Delivery, Online Portals, Restaurants",840000.0,Seed,2018,
Ninjacart,"Bengaluru, Karnataka, India","AgTech, B2B, Supply Chain Management",35000000.0,Series B,2018,
BYJU’S,"Bangalore, Karnataka, India","EdTech, Education, Higher Education, Secondary Education",540000000.0,Equity,2018,
Wakefit,"Bangalore, Karnataka, India","Manufacturing, Retail",9100000.0,,2018,
Hero Electric,"New Delhi, Delhi, India",Manufacturing,22400000.0,,2018,
PerkFinance,"Bangalore, Karnataka, India","Consumer Lending, FinTech",900000.0,Seed,2018,
